0|..\..\Server\maps\den.fomap|2/10/2014 7:57:55 PM|map_init|map_denbus|-1|0
0|..\..\Server\maps\den_bos.fomap|9/16/2013 10:54:21 PM|-|-|720|0
0|..\..\Server\maps\klamath.fomap|2/10/2014 7:57:55 PM|map_init|map_klamath|-1|0
0|..\..\Server\maps\klamath_canyon.fomap|9/16/2013 10:54:20 PM|-|-|-1|0
0|..\..\Server\maps\klam_rat1.fomap|9/16/2013 10:54:21 PM|-|-|-1|0
0|..\..\Server\maps\klam_rat2.fomap|9/16/2013 10:54:22 PM|-|-|-1|0
0|..\..\Server\maps\klam_rat3.fomap|9/16/2013 10:54:21 PM|-|-|-1|0
0|..\..\Server\maps\modoc.fomap|2/10/2014 7:57:55 PM|map_init|map_modoc|-1|0
0|..\..\Server\maps\vcity.fomap|9/16/2013 10:54:22 PM|map_init|map_vcity|-1|0
0|..\..\Server\maps\vcity_vault_1.fomap|9/16/2013 10:54:22 PM|map_init|map_vcity|720|0
0|..\..\Server\maps\vcity_vault_2.fomap|9/16/2013 10:54:21 PM|map_init|map_vcity|720|0
0|..\..\Server\maps\vcity_vault_3.fomap|9/16/2013 10:54:22 PM|map_init|map_vcity|720|0
0|..\..\Server\maps\vcity_hq.fomap|9/16/2013 10:54:21 PM|map_init|map_vcity_hq|720|0
0|..\..\Server\maps\gecko_settlement.fomap|2/10/2014 7:57:55 PM|map_init|map_gecko|-1|0
0|..\..\Server\maps\gecko_power_plant.fomap|9/16/2013 10:54:22 PM|-|-|-1|0
0|..\..\Server\maps\broken.fomap|2/10/2014 7:57:55 PM|map_init|map_broken|-1|0
0|..\..\Server\maps\broken_basement.fomap|9/16/2013 10:54:21 PM|-|-|0|0
0|..\..\Server\maps\broken_mine.fomap|9/16/2013 10:54:21 PM|-|-|0|1
0|..\..\Server\maps\broken_dungeon.fomap|9/16/2013 10:54:22 PM|-|-|0|0
0|..\..\Server\maps\newr1.fomap|9/16/2013 10:54:22 PM|-|-|-1|0
0|..\..\Server\maps\newr2.fomap|9/16/2013 10:54:20 PM|-|-|-1|0
0|..\..\Server\maps\newr3.fomap|1/9/2014 8:27:45 PM|-|-|-1|1
0|..\..\Server\maps\newr4.fomap|9/16/2013 10:54:22 PM|-|-|-1|0
0|..\..\Server\maps\newr_carstop.fomap|9/16/2013 10:54:22 PM|-|-|-1|0
0|..\..\Server\maps\newr_basem.fomap|9/16/2013 10:54:22 PM|-|-|0|0
0|..\..\Server\maps\newr_bishfloor1.fomap|9/16/2013 10:54:22 PM|-|-|-1|0
0|..\..\Server\maps\newr_bishfloor2.fomap|9/16/2013 10:54:21 PM|-|-|-1|0
0|..\..\Server\maps\newr_mordinohq.fomap|9/16/2013 10:54:22 PM|-|-|-1|0
0|..\..\Server\maps\newr_renoarms.fomap|1/9/2014 8:27:45 PM|-|-|-1|1
0|..\..\Server\maps\newr_sharkboxing.fomap|9/16/2013 10:54:22 PM|-|-|0|0
0|..\..\Server\maps\newr_wrightstill.fomap|9/16/2013 10:54:22 PM|-|-|-1|0
0|..\..\Server\maps\newr_sewer1.fomap|9/16/2013 10:54:21 PM|-|-|0|0
0|..\..\Server\maps\sad_enter.fomap|9/16/2013 10:54:20 PM|-|-|-1|0
0|..\..\Server\maps\sad_powersub.fomap|9/16/2013 10:54:22 PM|-|-|0|0
0|..\..\Server\maps\sad_level1.fomap|9/16/2013 10:54:22 PM|map_init|map_sad|0|1
0|..\..\Server\maps\sad_level2.fomap|9/16/2013 10:54:22 PM|map_init|map_sad|0|1
0|..\..\Server\maps\sad_level3.fomap|9/16/2013 10:54:21 PM|map_init|map_sad|0|1
